,schoolcode,year,charter,elapass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
240,230201040001,2019,0.0,85,0.0,0.0,0.0,34,35.294117647058826,94.11764705882352,0.0,2.941176470588235,2.941176470588235
241,230301040002,2019,0.0,75,0.0,0.0,0.0,51,45.09803921568628,96.07843137254902,1.9607843137254901,0.0,0.0
242,230901040002,2019,0.0,96,0.0,0.0,0.0,103,47.57281553398058,95.14563106796116,3.8834951456310676,0.0,0.0
243,231101040007,2019,0.0,79,0.0,0.0,0.0,78,65.38461538461539,92.3076923076923,1.282051282051282,3.8461538461538463,0.0
244,231301040002,2019,0.0,91,0.0,0.0,0.0,70,41.42857142857143,98.57142857142858,0.0,1.4285714285714286,0.0
245,240101040002,2019,0.0,90,0.0,0.0,0.0,94,28.723404255319153,88.29787234042553,1.0638297872340425,7.446808510638298,3.1914893617021276
246,240201040002,2019,0.0,88,0.0,0.0,0.0,69,37.68115942028986,92.7536231884058,2.898550724637681,1.4492753623188406,2.898550724637681
247,240401040001,2019,0.0,88,0.0,0.0,0.0,75,33.33333333333333,86.66666666666667,1.3333333333333335,6.666666666666667,4.0
248,240801060002,2019,0.0,87,0.0,0.0,0.0,135,37.77777777777778,97.03703703703704,0.7407407407407408,0.7407407407407408,0.7407407407407408
249,240901040001,2019,0.0,72,0.0,0.0,0.0,39,51.28205128205128,76.92307692307693,0.0,23.076923076923077,0.0
250,241001060003,2019,0.0,86,0.0,0.0,0.0,123,43.90243902439025,94.3089430894309,2.4390243902439024,2.4390243902439024,0.0
251,241101040003,2019,0.0,82,0.0,0.0,0.0,56,48.214285714285715,98.21428571428571,1.7857142857142856,0.0,0.0
252,241701040004,2019,0.0,92,0.0,0.0,0.0,62,30.64516129032258,90.32258064516128,0.0,3.225806451612903,1.6129032258064515
253,250109040001,2019,0.0,86,0.0,0.0,0.0,21,33.33333333333333,95.23809523809523,4.761904761904762,0.0,0.0
254,250201060002,2019,0.0,96,0.0,0.0,0.0,112,16.071428571428573,91.07142857142857,1.7857142857142856,5.357142857142857,1.7857142857142856
255,250301040001,2019,0.0,81,0.0,0.0,0.0,43,58.139534883720934,88.37209302325581,9.30232558139535,0.0,2.3255813953488373
256,250401040004,2019,0.0,94,0.0,0.0,0.0,36,47.22222222222222,94.44444444444444,0.0,0.0,0.0
257,250701040001,2019,0.0,95,0.0,0.0,0.0,42,26.190476190476193,95.23809523809523,0.0,4.761904761904762,0.0
258,250901060004,2019,0.0,91,0.0,0.0,0.0,96,40.625,91.66666666666666,1.0416666666666665,1.0416666666666665,0.0
259,251101040003,2019,0.0,81,0.0,0.0,0.0,43,62.7906976744186,97.67441860465115,2.3255813953488373,0.0,0.0
260,251400010009,2019,0.0,85,0.0,0.0,0.0,155,45.16129032258064,90.32258064516128,1.2903225806451613,3.225806451612903,2.5806451612903225
261,251601060005,2019,0.0,91,0.0,0.0,0.0,142,33.80281690140845,94.36619718309859,1.4084507042253522,1.4084507042253522,0.0
262,251501040001,2019,0.0,83,0.0,0.0,0.0,35,51.42857142857142,91.42857142857143,0.0,0.0,0.0
263,260101060004,2019,0.0,96,0.0,0.0,0.0,307,23.452768729641694,71.00977198697068,9.446254071661238,4.88599348534202,11.074918566775244
264,260401060001,2019,0.0,86,0.0,0.0,0.0,332,43.674698795180724,53.915662650602414,18.67469879518072,14.457831325301203,9.036144578313253
265,260501060008,2019,0.0,80,0.0,0.0,0.0,163,69.93865030674846,47.85276073619632,22.699386503067483,19.018404907975462,7.361963190184049
266,260501060010,2019,0.0,83,0.0,0.0,0.0,297,56.9023569023569,63.2996632996633,12.794612794612794,18.51851851851852,1.3468013468013467
267,260501060013,2019,0.0,85,0.0,0.0,0.0,163,58.282208588957054,59.50920245398773,19.631901840490798,16.56441717791411,3.067484662576687
268,260501060019,2019,0.0,85,0.0,0.0,0.0,283,47.70318021201413,65.01766784452296,19.081272084805654,7.06713780918728,6.007067137809187
270,260801060006,2019,0.0,87,0.0,0.0,0.0,254,61.417322834645674,48.031496062992126,24.015748031496063,18.89763779527559,2.7559055118110236
271,260803060005,2019,0.0,97,0.0,0.0,0.0,316,38.607594936708864,66.13924050632912,13.291139240506327,12.974683544303797,3.79746835443038
272,260901060004,2019,0.0,100,0.0,0.0,0.0,160,13.750000000000002,94.375,1.25,1.25,1.25
273,261001060001,2019,0.0,96,0.0,0.0,0.0,280,28.92857142857143,82.85714285714286,5.0,6.785714285714286,2.142857142857143
274,261101060004,2019,0.0,96,0.0,0.0,0.0,381,27.034120734908136,87.92650918635171,3.149606299212598,5.511811023622047,1.837270341207349
275,261201060006,2019,0.0,95,0.0,0.0,0.0,382,22.5130890052356,84.29319371727748,4.450261780104712,6.020942408376963,3.4031413612565444
